Serial_Nums,Test_Data,QA001,QA002,QA003,QA004,QA005,QA006,QA007,QA008,QA009,QA010,QA010,QA011,QA012,QA013,QA014,QA015,QA016,QA017,QA017,QA018,QA019,QA020,QA021,QA022,QA023,QA024
QA015,SSHキーを登録したんだけど,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,26.3%,0.0%,0.0%,73.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
QA016,SSHキーを確認したいんだけど,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,0.0%,0.0%,80.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
QA017,Prime Videoとは何ぞや,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
QA017,Prime Videoとはどんなサービスか,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
QA018,Prime Videoについて,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
QA019,Prime Videoの登録はどうやるの,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,86.3%,0.0%,0.0%,0.0%,13.7%,0.0%
QA020,Prime Videoが使えない,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,68.3%,0.0%,0.0%,31.7%,0.0%
QA021,Prime Videoでエラー発生,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,99.5%,0.0%,0.5%,0.0%
QA022,Prime Videoの他との違いは何ぞや,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.4%,0.0%,0.0%
QA023,Prime Videoはタダで使えるのか,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,29.9%,0.0%,0.0%,0.0%,70.1%,0.0%
QA024,Prime Videoを解約したいんだけど,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.8%,0.0%,0.0%,0.0%,0.0%,79.2%
